ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,DGP(HOPF),1,AP Director General of Police,,,L&O,FALSE
HOME,VSP Range,2000700,Visakhapatnam Range,DGP(HOPF),Range,L&O,FALSE
HOME,Eluru Range,2000701,Eluru Range,DGP(HOPF),Range,L&O,FALSE
HOME,Guntur Range,2000804,Guntur Range,DGP(HOPF),Range,L&O,FALSE
HOME,Kurnool Range,2000703,Kurnool Range,DGP(HOPF),Range,L&O,FALSE
HOME,Ananthapur Range,2000704,Ananthapur Range,DGP(HOPF),Range,L&O,FALSE
HOME,Bapatla Dist,2019,Bapatla District,DGP(HOPF),District,L&O,FALSE
HOME,Guntur Dist,2043,Guntur District,Guntur Range,District,L&O,FALSE
HOME,Palnadu Dist,2063,Palnadu District,Guntur Range,District,L&O,FALSE
HOME,Prakasam Dist,2033,Prakasam District,Guntur Range,District,L&O,FALSE
HOME,Sri Potti Sriramulu Nellore DIst,2031,Sri Potti Sriramulu Nellore District,Guntur Range,District,L&O,FALSE
HOME,Alluri Sitharama Raju Dist,2057,Alluri Sitharama Raju District,Guntur Range,District,L&O,FALSE
HOME,Anakapalli Dist,2035,Anakapalli District,VSP Range,District,L&O,FALSE
HOME,Parvathipuram Manyam Dist,2061,Parvathipuram Manyam District,VSP Range,District,L&O,FALSE
HOME,Srikakulam Dist,2034,Srikakulam District,VSP Range,District,L&O,FALSE
HOME,Vizianagaram Dist,2037,Vizianagaram District,VSP Range,District,L&O,FALSE
HOME,Dr. B R Ambedkar Konaseema Dist,2060,Dr. B R Ambedkar Konaseema District,VSP Range,District,L&O,FALSE
HOME,East Godavari Dist,2042,East Godavari District,Eluru Range,District,L&O,FALSE
HOME,Eluru Dist,2059,Eluru District,Eluru Range,District,L&O,FALSE
HOME,Kakinada Dist,2017,Kakinada District,Eluru Range,District,L&O,FALSE
HOME,Krishna Dist,2026,Krishna District,Eluru Range,District,L&O,FALSE
HOME,West Godavari Dist,2018,West Godavari District,Eluru Range,District,L&O,FALSE
